48.1497709 11.5591667
48.1497813 11.5591971
48.1497695 11.5592086
48.1497916 11.5592381
48.1497887 11.5592585
48.1497851 11.5592670
48.1497844 11.5592362
48.1497572 11.5591719
48.1497710 11.5592108
48.1498023 11.5592702
48.1497535 11.5591516
48.1497857 11.5592769
48.1497553 11.5592067
48.1497942 11.5592765
48.1497962 11.5592841
48.1497897 11.5592722
48.1497927 11.5592781
48.1498053 11.5594178
48.1498064 11.5593948
48.1498070 11.5594059
48.1498044 11.5593606
48.1497906 11.5592569
48.1497910 11.5592773
48.1497929 11.5592894
48.1497893 11.5592450
48.1497944 11.5592614
48.1497941 11.5592378
48.1497876 11.5592323
48.1497851 11.5592412
48.1497849 11.5592334
48.1497944 11.5592663
48.1497752 11.5592532
48.1497819 11.5592319
48.1497799 11.5592643
48.1497844 11.5592278
48.1497947 11.5592601
48.1497943 11.5592639
48.1497918 11.5592948
48.1497995 11.5592444
48.1497946 11.5592611
48.1497797 11.5592272
48.1497796 11.5592420
48.1497946 11.5592542
48.1497941 11.5592623
48.1497936 11.5592636
48.1497928 11.5592560
48.1497923 11.5592562
48.1497874 11.5592344
48.1497742 11.5592209
48.1497604 11.5591873
48.1497903 11.5592182
48.1497788 11.5591835
48.1497645 11.5591592
48.1497496 11.5591766
48.1497744 11.5591822
